OBJECTID,CITY,CITY_ID,CITY_TYPE,CITY_NAME,CITY_LABEL,COLOR_CODE,ABBR,CITY_NO,DESCRIPTN,URL,PHONE,OF_AREA_SM,FEAT_TYPE,COMMENT,COLOR_EGIS,POPULATION,ShapeSTArea,ShapeSTLength
47093,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,998.38671875,140.320381477351
47094,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,293.92578125,81.879499542342
47095,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1696.310546875,159.443707341647
47096,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,6963.4873046875,329.915469389517
47097,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,691.15625,107.046687318796
47098,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,768.9091796875,116.698462941199
47099,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,872.5419921875,123.126952137621
47100,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,4379.1181640625,273.249138225421
47101,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,4664.6904296875,257.382816466596
47102,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,310.646484375,85.1223901128188
47103,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,11109.5361328125,543.832197017489
47104,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1350.5791015625,141.488065757678
47105,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,5455.4013671875,361.95638526203
47106,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,952.8525390625,130.199375037675
47107,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2641.8095703125,203.157923168583
47108,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,10036.982421875,434.373382278054
47109,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2708.3359375,217.687107381835
47110,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1203.587890625,154.742957665399
47111,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,862.0029296875,138.987239035643
47112,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1095.423828125,153.109397627135
47113,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,6383.0966796875,359.717406110402
47114,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,531.228515625,106.232459214293
47115,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1531.5947265625,153.20747493739
47116,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,8514.681640625,468.64687414969
47117,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1391.9580078125,146.366391900727
47118,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,22780.892578125,727.768456085685
47119,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2892.1943359375,219.110800128051
47120,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,17132.2275390625,583.90087840251
47121,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,10717.7431640625,472.443461329368
47122,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,408.658203125,98.3710674865449
47123,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1610.1611328125,165.033222667148
47124,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2063.9375,219.930253646481
47125,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,572.7744140625,114.153579752188
47126,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,690.681640625,136.062787041631
47127,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,3294.6083984375,257.281577689884
47128,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2401.0205078125,210.703756357126
47129,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1744.2841796875,187.268705373731
47130,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,294.228515625,90.8594306608184
47131,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,881.4267578125,136.650549785974
47132,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1125.6220703125,138.270127449185
47133,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,7217.5537109375,314.171540764879
47134,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,3883.3232421875,237.984806377879
47135,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2896.076171875,202.22289519548
47136,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,12656.62890625,507.811213863099
47137,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,345.58984375,86.8639660358714
47138,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1025.3564453125,134.886559005834
47139,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2538.3515625,219.419074787171
47140,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,42385.0341796875,827.31462869667
47141,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2509.6689453125,204.013184494832
47142,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,13462.8408203125,438.383831160741
47143,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,22908.8701171875,660.639827465088
47144,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1098.607421875,146.372361892601
47145,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,7663.388671875,411.130612072011
47146,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,797.3955078125,120.526301655551
47147,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,397.658203125,100.973260703036
47148,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1572294173.65137,332102.166924666
47149,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,76398.447265625,1334.59116470834
47150,,,City,Los Angeles,Los Angeles,9,,49,LA,http://www.lacity.org,2134733231,468.852,Breakwater,,"Gray - RGB 178,178,178",,56128.1201171875,2611.41366497125
47151,,,City,Long Beach,Long Beach,2,,48,LB,www.longbeach.gov,5625706555,50.309,Breakwater,,"Purple - RGB 185,185,250",,668332.34765625,26811.8924126757
47152,,,City,Long Beach,Long Beach,2,,48,LB,www.longbeach.gov,5625706555,50.309,Breakwater,,"Purple - RGB 185,185,250",,97107.5126953125,3207.25451671752
47153,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,51518.630859375,1119.72222167899
47154,,,City,Long Beach,Long Beach,2,,48,LB,www.longbeach.gov,5625706555,50.309,Breakwater,,"Purple - RGB 185,185,250",,82535.6689453125,3572.11558702201
47155,,,City,Long Beach,Long Beach,2,,48,LB,www.longbeach.gov,5625706555,50.309,Breakwater,,"Purple - RGB 185,185,250",,157589.564453125,5499.9634612013
47156,,,City,Long Beach,Long Beach,2,,48,LB,www.longbeach.gov,5625706555,50.309,Breakwater,,"Purple - RGB 185,185,250",,24325.1484375,1226.41420229697
47157,,,City,Redondo Beach,Redondo Beach,2,,65,RBCH,www.redondo.org,3103721171,6.349,Breakwater,,"Pink - RGB 255,190,232",,42113.1279296875,1468.01116635937
47158,,,City,Redondo Beach,Redondo Beach,2,,65,RBCH,www.redondo.org,3103721171,6.349,Breakwater,,"Pink - RGB 255,190,232",,7463.015625,491.169560721817
47162,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,843640.662109375,3991.2296523289
47163,,,City,Norwalk,Norwalk,2,,57,NRWK,www.ci.norwalk.ca.us,5629295700,9.354,Land,,"Pink - RGB 255,190,232",,272023719.393555,91611.4632722305
47164,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,589493.408203125,3403.94150025395
47165,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,3249483.46289062,38824.0090061737
47166,,,City,Diamond Bar,Diamond Bar,3,,23,DMDBR,www.ci.diamond-bar.ca.us,9098397000,14.959,Land,,"Purple - RGB 185,185,250",,414927981.104492,110699.785263367
47167,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,98608791.1699219,97213.7034037176
47168,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,181861785.949219,163661.995007279
47169,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,6192767.95800781,11670.5601761757
47170,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,53318234.4443359,51661.1292838986
47171,,,City,Pasadena,Pasadena,2,,61,PAS,www.ci.pasadena.ca.us,6267444000,23.14,Land,,"Pink - RGB 255,190,232",,644180405.719727,283063.98652459
47172,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,14220453.8603516,19229.6106775467
47173,,,City,Irwindale,Irwindale,4,,38,IRW,www.ci.irwindale.ca.us,6264302200,9.475,Land,,"Green - RGB 203,255,112",,268565971.083008,131448.528993663
47174,,,City,La Verne,La Verne,6,,43,LAV,www.ci.la-verne.ca.us,9095968726,8.483,Land,,"Brown - RGB 215,194,158",,237570337.011719,115461.330842619
47175,,,City,Los Angeles,Los Angeles,9,,49,LA,http://www.lacity.org,2134733231,468.852,Land,,"Gray - RGB 178,178,178",,13098650885.4199,1697557.58079491
47176,,,City,Claremont,Claremont,3,,17,CLAR,www.ci.claremont.ca.us,9093995460,13.426,Land,,"Purple - RGB 185,185,250",,375529322.682617,150129.03998838
47177,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,3034302058.26855,369125.11784869
47178,,,City,San Dimas,San Dimas,5,,69,SNDMS,www.cityofsandimas.com,9093946200,15.358,Land,,"Orange - RGB 230,190,112",,429644581.708008,170600.970945024
47179,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,61843712971.5957,2558231.45834967
47180,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,2214673.25976562,8412.78349915138
47181,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,9080549.66503906,23392.2668852069
47182,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,26347256.859375,57065.4738030439
47183,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,11882025.8037109,16581.0324042609
47184,,,City,Hawthorne,Hawthorne,3,,32,HAW,www.cityofhawthorne.com,3103492900,6.07,Land,,"Purple - RGB 185,185,250",,169576109.75,110160.439491804
47185,,,City,Lynwood,Lynwood,4,,50,LYN,www.lynwood.ca.us,3106030220,4.848,Land,,"Green - RGB 203,255,112",,135012048.113281,72152.5440780004
47186,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1392532.97167969,10849.7917661191
47187,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,136127.798828125,1630.93444534492
47188,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,503506.219726562,3482.83352370339
47189,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,30562130.3007812,33135.8064463524
47190,,,City,South Gate,South Gate,2,,79,SGT,www.cityofsouthgate.org,3235639500,7.321,Land,,"Pink - RGB 255,190,232",,204962022.486328,102568.802023574
47191,,,City,Cudahy,Cudahy,6,,21,CDHY,www.cityofcudahy.com,3237735143,1.211,Land,,"Brown - RGB 215,194,158",,34261136.2236328,33735.1701712102
47192,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,3321076.54492188,8005.96757847655
47193,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1025978.99023438,6904.189168155
47194,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,207436753.791016,87358.7087513063
47195,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,25171174.5615234,29530.0729153292
47196,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,15063445.9902344,23175.1125917781
47197,,,City,Bell Gardens,Bell Gardens,4,,9,BGDNS,www.bellgardens.org,5628067700,2.397,Land,,"Green - RGB 203,255,112",,68727192.5908203,38914.4668497108
47198,,,City,Inglewood,Inglewood,2,,37,ING,www.cityofinglewood.org,3104125111,9.093,Land,,"Pink - RGB 255,190,232",,253644360.53418,90388.3259335337
47199,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,24773372.7617188,71324.3409682374
47200,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,118148921.620117,68317.9148658927
47201,,,City,Huntington Park,Huntington Park,3,,35,HPK,www.huntingtonpark.org,3235826161,2.998,Land,,"Purple - RGB 185,185,250",,84037433.9628906,66356.9861654224
47202,,,City,Maywood,Maywood,4,,53,MYWD,www.cityofmaywood.com,3235625700,1.182,Land,,"Green - RGB 203,255,112",,32839478.8017578,30091.9090062285
47203,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,310178.407226562,5466.81146074484
47204,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,1132406.82324219,4846.96046466998
47205,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,10425411.1318359,22635.7477434125
47206,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,6351977.2421875,13325.8639291804
47207,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,41385395.6103516,62265.9377773471
47209,,,City,Malibu,Malibu,5,,51,MBU,www.ci.malibu.ca.us,3104562489,19.613,Land,,"Orange - RGB 230,190,112",,551991706.22168,251667.097751335
47211,,,City,Signal Hill,Signal Hill,3,,77,SGHL,www.cityofsignalhill.org,5629897300,2.136,Land,,"Pink - RGB 255,190,232",,61291506.7529297,56461.5458725287
47212,,,City,Lakewood,Lakewood,3,,44,LKWD,www.lakewoodcity.org,5628669771,9.544,Land,,"Pink - RGB 255,190,232",,263532836.181641,124225.372866642
47213,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,75306513.1845703,41410.6223646345
47214,,,City,Long Beach,Long Beach,2,,48,LB,www.longbeach.gov,5625706555,50.309,Land,,"Purple - RGB 185,185,250",,1441666603.49512,563635.974202078
47215,,,City,Carson,Carson,4,,15,CAR,ci.carson.ca.us,3108307600,19.24,Land,,"Green - RGB 203,255,112",,528001006.567383,127691.742116339
47216,,,Unincorporated,Unincorporated,CO,1,,0,UNINC,www.lacounty.gov,2139744321,0,Land,,"Yellow - RGB 255,255,115",,5494354.70410156,11568.2722893904
47217,,,City,Paramount,Paramount,5,,60,PAR,www.paramountcity.com,5622202000,4.664,Land,,"Orange - RGB 230,190,112",,134393837.146484,67953.789706345
47218,,,City,Los Angeles,Los Angeles,9,,49,LA,http://www.lacity.org,2134733231,468.852,Water,,"Gray - RGB 178,178,178",,141624253.991211,234192.536362342
47219,,,City,Rolling Hills,Rolling Hills,2,,66,RLHS,www.rolling-hills.org,3103771521,2.985,Land,,"Pink - RGB 255,190,232",,83379649.5654297,48172.7924362127
